COUNTY,CASE_STATUS,Cases,Deaths,Updated
Alcona,Confirmed,1040,45,2021/12/06 14:03:30
Alcona,Probable,318,6,2021/12/06 14:03:30
Alger,Confirmed,652,4,2021/12/06 14:03:30
Alger,Probable,359,5,2021/12/06 14:03:30
Allegan,Confirmed,16841,198,2021/12/06 14:03:30
Allegan,Probable,1939,28,2021/12/06 14:03:30
Alpena,Confirmed,3163,84,2021/12/06 14:03:30
Alpena,Probable,1020,5,2021/12/06 14:03:30
Antrim,Confirmed,2213,37,2021/12/06 14:03:30
Antrim,Probable,725,6,2021/12/06 14:03:30
Arenac,Confirmed,1979,44,2021/12/06 14:03:30
Arenac,Probable,191,1,2021/12/06 14:03:30
Baraga,Confirmed,1208,44,2021/12/06 14:03:30
Baraga,Probable,205,2,2021/12/06 14:03:30
Barry,Confirmed,8477,99,2021/12/06 14:03:30
Barry,Probable,1516,11,2021/12/06 14:03:30
Bay,Confirmed,16451,416,2021/12/06 14:03:30
Bay,Probable,1394,20,2021/12/06 14:03:30
Benzie,Confirmed,1682,40,2021/12/06 14:03:30
Benzie,Probable,506,4,2021/12/06 14:03:30
Berrien,Confirmed,20365,328,2021/12/06 14:03:30
Berrien,Probable,2349,24,2021/12/06 14:03:30
Branch,Confirmed,7173,122,2021/12/06 14:03:30
Branch,Probable,775,5,2021/12/06 14:03:30
Calhoun,Confirmed,19423,394,2021/12/06 14:03:30
Calhoun,Probable,3396,20,2021/12/06 14:03:30
Cass,Confirmed,7165,98,2021/12/06 14:03:30
Cass,Probable,1109,7,2021/12/06 14:03:30
Charlevoix,Confirmed,2173,37,2021/12/06 14:03:30
Charlevoix,Probable,958,8,2021/12/06 14:03:30
Cheboygan,Confirmed,2492,75,2021/12/06 14:03:30
Cheboygan,Probable,876,3,2021/12/06 14:03:30
Chippewa,Probable,2731,10,2021/12/06 14:03:30
Chippewa,Confirmed,1944,49,2021/12/06 14:03:30
Clare,Confirmed,4049,117,2021/12/06 14:03:30
Clare,Probable,680,4,2021/12/06 14:03:30
Clinton,Confirmed,8997,127,2021/12/06 14:03:30
Clinton,Probable,3916,8,2021/12/06 14:03:30
Crawford,Confirmed,1556,20,2021/12/06 14:03:30
Crawford,Probable,262,0,2021/12/06 14:03:30
Delta,Confirmed,5506,107,2021/12/06 14:03:30
Delta,Probable,1243,21,2021/12/06 14:03:30
Detroit City,Confirmed,72168,2579,2021/12/06 14:03:30
Detroit City,Probable,5229,154,2021/12/06 14:03:30
Dickinson,Confirmed,3474,71,2021/12/06 14:03:30
Dickinson,Probable,1297,17,2021/12/06 14:03:30
Eaton,Probable,2458,15,2021/12/06 14:03:30
Eaton,Confirmed,14270,273,2021/12/06 14:03:30
Emmet,Confirmed,3016,54,2021/12/06 14:03:30
Emmet,Probable,1108,1,2021/12/06 14:03:30
FCI,Confirmed,316,5,2021/12/06 14:03:30
FCI,Probable,5,0,2021/12/06 14:03:30
Genesee,Confirmed,49436,1105,2021/12/06 14:03:30
Genesee,Probable,14811,96,2021/12/06 14:03:30
Gladwin,Confirmed,3214,81,2021/12/06 14:03:30
Gladwin,Probable,622,4,2021/12/06 14:03:30
Gogebic,Confirmed,1757,27,2021/12/06 14:03:30
Gogebic,Probable,425,29,2021/12/06 14:03:30
Grand Traverse,Confirmed,9255,133,2021/12/06 14:03:30
Grand Traverse,Probable,2066,18,2021/12/06 14:03:30
Gratiot,Confirmed,5226,138,2021/12/06 14:03:30
Gratiot,Probable,2017,6,2021/12/06 14:03:30
Hillsdale,Confirmed,6936,146,2021/12/06 14:03:30
Hillsdale,Probable,759,5,2021/12/06 14:03:30
Houghton,Confirmed,4547,51,2021/12/06 14:03:30
Houghton,Probable,841,10,2021/12/06 14:03:30
Huron,Confirmed,4468,100,2021/12/06 14:03:30
Huron,Probable,1412,8,2021/12/06 14:03:30
Ingham,Confirmed,33010,501,2021/12/06 14:03:30
Ingham,Probable,4957,15,2021/12/06 14:03:30
Ionia,Confirmed,10915,117,2021/12/06 14:03:30
Ionia,Probable,302,3,2021/12/06 14:03:30
Iosco,Confirmed,3218,99,2021/12/06 14:03:30
Iosco,Probable,398,6,2021/12/06 14:03:30
Iron,Confirmed,1580,56,2021/12/06 14:03:30
Iron,Probable,182,13,2021/12/06 14:03:30
Isabella,Confirmed,8959,135,2021/12/06 14:03:30
Isabella,Probable,1673,8,2021/12/06 14:03:30
Jackson,Confirmed,23858,372,2021/12/06 14:03:30
Jackson,Probable,2860,14,2021/12/06 14:03:30
Kalamazoo,Confirmed,32054,444,2021/12/06 14:03:30
Kalamazoo,Probable,3995,52,2021/12/06 14:03:30
Kalkaska,Confirmed,2052,41,2021/12/06 14:03:30
Kalkaska,Probable,205,1,2021/12/06 14:03:30
Kent,Confirmed,104482,1029,2021/12/06 14:03:30
Kent,Probable,8793,114,2021/12/06 14:03:30
Keweenaw,Confirmed,337,8,2021/12/06 14:03:30
Keweenaw,Probable,43,1,2021/12/06 14:03:30
Lake,Confirmed,1097,24,2021/12/06 14:03:30
Lake,Probable,156,3,2021/12/06 14:03:30
Lapeer,Confirmed,11794,274,2021/12/06 14:03:30
Lapeer,Probable,2396,9,2021/12/06 14:03:30
Leelanau,Confirmed,1687,33,2021/12/06 14:03:30
Leelanau,Probable,561,3,2021/12/06 14:03:30
Lenawee,Confirmed,14143,217,2021/12/06 14:03:30
Lenawee,Probable,2295,6,2021/12/06 14:03:30
Livingston,Confirmed,25290,286,2021/12/06 14:03:30
Livingston,Probable,4581,17,2021/12/06 14:03:30
Luce,Confirmed,421,4,2021/12/06 14:03:30
Luce,Probable,493,1,2021/12/06 14:03:30
MDOC,Confirmed,26056,154,2021/12/06 14:03:30
MDOC,Probable,2106,3,2021/12/06 14:03:30
Mackinac,Confirmed,1036,15,2021/12/06 14:03:30
Mackinac,Probable,536,1,2021/12/06 14:03:30
Macomb,Confirmed,133681,2753,2021/12/06 14:03:30
Macomb,Probable,12230,163,2021/12/06 14:03:30
Manistee,Confirmed,1886,43,2021/12/06 14:03:30
Manistee,Probable,372,5,2021/12/06 14:03:30
Marquette,Confirmed,6939,85,2021/12/06 14:03:30
Marquette,Probable,1557,5,2021/12/06 14:03:30
Mason,Confirmed,4053,57,2021/12/06 14:03:30
Mason,Probable,267,1,2021/12/06 14:03:30
Mecosta,Confirmed,5580,67,2021/12/06 14:03:30
Mecosta,Probable,365,4,2021/12/06 14:03:30
Menominee,Confirmed,2909,50,2021/12/06 14:03:30
Menominee,Probable,1042,8,2021/12/06 14:03:30
Midland,Confirmed,11433,152,2021/12/06 14:03:30
Midland,Probable,1036,13,2021/12/06 14:03:30
Missaukee,Confirmed,1739,29,2021/12/06 14:03:30
Missaukee,Probable,381,13,2021/12/06 14:03:30
Monroe,Confirmed,20336,304,2021/12/06 14:03:30
Monroe,Probable,4305,33,2021/12/06 14:03:30
Montcalm,Confirmed,9515,146,2021/12/06 14:03:30
Montcalm,Probable,1258,3,2021/12/06 14:03:30
Montmorency,Confirmed,947,35,2021/12/06 14:03:30
Montmorency,Probable,343,2,2021/12/06 14:03:30
Muskegon,Confirmed,26104,452,2021/12/06 14:03:30
Muskegon,Probable,1094,13,2021/12/06 14:03:30
Newaygo,Confirmed,7637,105,2021/12/06 14:03:30
Newaygo,Probable,548,3,2021/12/06 14:03:30
Oakland,Confirmed,152331,2679,2021/12/06 14:03:30
Oakland,Probable,22851,185,2021/12/06 14:03:30
Oceana,Confirmed,4416,69,2021/12/06 14:03:30
Oceana,Probable,222,6,2021/12/06 14:03:30
Ogemaw,Confirmed,2591,67,2021/12/06 14:03:30
Ogemaw,Probable,555,8,2021/12/06 14:03:30
Ontonagon,Confirmed,626,23,2021/12/06 14:03:30
Ontonagon,Probable,77,1,2021/12/06 14:03:30
Osceola,Confirmed,3165,50,2021/12/06 14:03:30
Osceola,Probable,485,0,2021/12/06 14:03:30
Oscoda,Confirmed,926,44,2021/12/06 14:03:30
Oscoda,Probable,191,3,2021/12/06 14:03:30
Otsego,Confirmed,3108,62,2021/12/06 14:03:30
Otsego,Probable,928,8,2021/12/06 14:03:30
Ottawa,Confirmed,47047,505,2021/12/06 14:03:30
Ottawa,Probable,4415,74,2021/12/06 14:03:30
Out-of-State,Confirmed,2695,29,2021/12/06 14:03:30
Out-of-State,Probable,205,3,2021/12/06 14:03:30
Presque Isle,Confirmed,1266,45,2021/12/06 14:03:30
Presque Isle,Probable,385,3,2021/12/06 14:03:30
Roscommon,Confirmed,2712,81,2021/12/06 14:03:30
Roscommon,Probable,689,8,2021/12/06 14:03:30
Saginaw,Confirmed,30544,699,2021/12/06 14:03:30
Saginaw,Probable,2424,25,2021/12/06 14:03:30
Sanilac,Confirmed,5362,143,2021/12/06 14:03:30
Sanilac,Probable,878,10,2021/12/06 14:03:30
Schoolcraft,Confirmed,757,6,2021/12/06 14:03:30
Schoolcraft,Probable,324,1,2021/12/06 14:03:30
Shiawassee,Confirmed,9575,147,2021/12/06 14:03:30
Shiawassee,Probable,2024,8,2021/12/06 14:03:30
St Clair,Confirmed,22999,539,2021/12/06 14:03:30
St Clair,Probable,4550,30,2021/12/06 14:03:30
St Joseph,Confirmed,8933,122,2021/12/06 14:03:30
St Joseph,Probable,1210,14,2021/12/06 14:03:30
Tuscola,Confirmed,7604,205,2021/12/06 14:03:30
Tuscola,Probable,1602,18,2021/12/06 14:03:30
Unknown,Probable,35,0,2021/12/06 14:03:30
Unknown,Confirmed,17,1,2021/12/06 14:03:30
Van Buren,Confirmed,10732,172,2021/12/06 14:03:30
Van Buren,Probable,764,17,2021/12/06 14:03:30
Washtenaw,Confirmed,35881,345,2021/12/06 14:03:30
Washtenaw,Probable,4393,9,2021/12/06 14:03:30
Wayne,Confirmed,148624,3056,2021/12/06 14:03:30
Wayne,Probable,11115,210,2021/12/06 14:03:30
Wexford,Confirmed,3865,70,2021/12/06 14:03:30
Wexford,Probable,821,7,2021/12/06 14:03:30
